code,name,lat,lon
YHBK,Holbrook,-35.68333333,147.31666667
YHON,Honeymoon,-31.75333333,140.665
YHRD,Hungerford,-28.99611111,144.45305556
YIFY,Iffley,-18.9,141.21666667
YILF,Ilfracombe,-23.47166667,144.53416667
YIGM,Ingham,-18.66055556,146.15166667
YINJ,Injune,-25.85,148.55
YIKM,Inkerman,-16.22888889,141.42583333
YINN,Innamincka,-27.7,140.73333333
YIMT,Innamincka Township,-27.74166667,140.745
YISF,Isisford,-24.25916667,144.42416667
YIVO,Ivanhoe,-32.88333333,144.31
YJST,Jamestown,-33.19222222,138.61583333
YJER,Jerilderie,-35.37,145.725
YJVS,Jervois,-22.91305556,136.11944444
YJIN,Jindabyne,-36.42666667,148.60166667
YJDA,Jundah,-24.83138889,143.06555556
YJNB,Jurien Bay,-30.30333333,115.05527778
YKDI,Kadina,-33.97,137.66
YKBL,Kambalda,-31.19055556,121.59833333
YKML,Kamileroi,-19.37472222,140.05611111
YKAT,Katoomba,-33.66833333,150.32333333
YKDM,Kidman Springs,-16.11583333,130.95333333
YKID,Kidston,-18.87083333,144.17333333
YKCY,Kilcoy,-26.97111111,152.56527778
YKLE,Killarney,-16.25027778,131.74694444
YKKN,Kin Kin Retreat,-34.37916667,116.32222222
YKCS,Kings Creek Stn,-24.42027778,131.81888889
YKIG,Kingston Se,-36.82,139.87
YKBN,Kooralbyn,-28.09,152.84083333
YKUB,Kubin,-10.22666667,142.22361111
YKTN,Kyneton,-37.22555556,144.44694444
YLJN,Lake Johnston,-32.31777778,120.55472222
YKEP,Lake Keepit,-30.89,150.52666667
YLMQ,Lake Macquarie Airport,-33.06611111,151.64805556
YLKE,Lakes Entrance,-37.85,147.95
YLAK,Lakeside Airpark,-20.685,148.625
YLCK,Lassie Creek Station,-19.39666667,145.85
YLAW,Lawlers,-28.08972222,120.54
YLAH,Lawn Hill,-18.57638889,138.58472222
YLGU,Legune Stn,-15.21694444,129.44861111
YLED,Lethbridge Airport,-37.91888889,144.10111111
YLIL,Lilydale,-37.69194444,145.36638889
YLZI,Lizard Island,-14.67277778,145.45416667
YLCS,Locksley Field,-36.815,145.34833333
YLOR,Lorraine,-19.00638889,139.89944444
YLOH,Louth,-30.53138889,145.12861111
YMAA,Mabuiag Is,-9.95166667,142.19638889
YMLD,Maitland (sa),-34.39277778,137.70722222
YMFD,Mansfield,-37.06666667,146.11666667
YMBL,Marble Bar,-21.16277778,119.83388889
YMGT,Margaret River,-33.93055556,115.1
YMGR,Margaret River Stn,-18.62138889,126.88388889
YMRE,Marree,-29.66277778,138.06583333
YMEL,Melton,-37.62166667,144.56555556
YMET,Melville Water Aerodrome,-31.9775,115.84138889
YMEI,Mereenie,-23.97666667,131.56166667
YMDN,Merredin,-31.52333333,118.32055556
YMIO,Mill Iron,-23.32388889,150.69583333
YMCT,Millicent,-37.58361111,140.36611111
YMMN,Millmerran,-27.86333333,151.275
YMPA,Minnipa,-32.84305556,135.14444444
YMIB,Mintabie,-27.32833333,133.305
YMIT,Mitchell,-26.48333333,147.93666667
YITT,Mitta Mitta,-36.51222222,147.35611111
YMIG,Mittagong,-34.44833333,150.50333333
YMOD,Modewarre,-38.26055556,144.09194444
YMNK,Monkira,-24.81861111,140.55333333
YMTO,Monto,-24.88583333,151.10027778
YMOO,Mooraberree,-25.24388889,140.97722222
YMNY,Morney,-25.35833333,141.43333333
YMBT,Mount Beauty,-36.73333333,147.16666667
YMDY,Mount Bundey,-12.89,131.90722222
YMCL,Mount Coolon,-21.38694444,147.33222222
YMHL,Mount Holland,-32.11833333,119.76833333
YMHO,Mount House,-17.05111111,125.71333333
YMHW,Mount Howitt,-26.51111111,142.28333333
YMSF,Mount Sanford Stn,-16.97833333,130.555
YMOU,Moura,-24.61166667,149.99638889
YMWA,Mullewa,-28.47527778,115.5175
YMDA,Mundubbera,-25.59805556,151.31888889
YMGI,Mungindi,-28.96722222,149.05361111
YLMU,Mungo Lodge,-33.745,143.00166667
YMRG,Murgon,-26.25277778,151.93
YMBD,Murray Bridge,-35.06666667,139.22666667
YMAE,Murray/mer Island,-9.91555556,144.05527778
YMUR,Murwillumbah,-28.33111111,153.41361111
YMTB,Muttaburra,-22.58333333,144.53333333
YNGW,Nagambie-wirrate,-36.78388889,145.03694444
YNAP,Nappa Merrie,-27.55833333,141.13333333
YNRB,Narembeen,-32.11666667,118.41666667
YNRG,Narrogin,-32.93,117.08
YNSH,Noosa,-26.42333333,153.06333333
YNTM,Northam,-31.62583333,116.68444444
YNUL,Nullagine,-21.91277778,120.19861111
YNUB,Nullarbor Motel,-31.44111111,130.90222222
YOAY,Oaky Creek,-23.05972222,148.49472222
YORR,Orroroo,-32.79166667,138.66666667
YPAC,Pacific Haven,-25.23666667,152.54333333
YPAY,Papunya,-23.24111111,131.90694444
YPEF,Penfield,-37.51333333,144.69833333
YPTB,Peterborough,-33.005,138.84833333
YPBH,Peterborough (vic),-38.606745,142.90208
YPNN,Pinnaroo,-35.25333333,140.94333333
YPWH,Pittsworth,-27.73333333,151.63333333
YPFT,Polo Flat,-36.22916667,149.14944444
YPOK,Porepunkah,-36.71777778,146.89
YPUG,Pungalina,-16.72194444,137.42111111
YQNS,Queenstown,-42.07555556,145.53083333
YQRN,Quorn,-32.32,138.10166667
YRED,Redcliffe,-27.20666667,153.06777778
YRID,Riddell,-37.48,144.71833333
YRBE,Robe,-37.17638889,139.80444444
YRBN,Robertson,-34.64666667,150.64
YROB,Robinhood,-18.84861111,143.71111111
YRLL,Rolleston,-24.46083333,148.6275
YRSY,Romsey,-37.39166667,144.73833333
YRSB,Roseberth,-25.83333333,139.65
